time;user;action;place
28-12-23 22:01:58;nakyss;Left-Voice-Channel;Les Boys / OH C UN GATé
28-12-23 22:01:58;nakyss;Join-Voice-Channel;Serveur test de Nakyss / Général
28-12-23 22:01:58;beta bot;Join-Voice-Channel;Serveur test de Nakyss / Général
28-12-23 22:02:06;beta bot;Left-Voice-Channel;Serveur test de Nakyss / Général
28-12-23 22:02:12;nakyss;Left-Voice-Channel;Serveur test de Nakyss / Général
28-12-23 22:02:13;nakyss;Join-Voice-Channel;Serveur test de Nakyss / Général
28-12-23 22:02:13;beta bot;Join-Voice-Channel;Serveur test de Nakyss / Général
28-12-23 22:02:20;beta bot;Left-Voice-Channel;Serveur test de Nakyss / Général
28-12-23 22:02:22;nakyss;Left-Voice-Channel;Serveur test de Nakyss / Général
28-12-23 22:02:23;nakyss;Join-Voice-Channel;Serveur test de Nakyss / Général
28-12-23 22:02:23;beta bot;Join-Voice-Channel;Serveur test de Nakyss / Général
28-12-23 22:02:32;beta bot;Left-Voice-Channel;Serveur test de Nakyss / Général
28-12-23 22:02:41;nakyss;Left-Voice-Channel;Serveur test de Nakyss / Général
28-12-23 22:02:41;nakyss;Join-Voice-Channel;Les Boys / OH C UN GATé
28-12-23 22:08:11;nakyss;Left-Voice-Channel;Les Boys / OH C UN GATé
28-12-23 22:08:11;nakyss;Join-Voice-Channel;Serveur test de Nakyss / Général
28-12-23 22:08:11;beta bot;Join-Voice-Channel;Serveur test de Nakyss / Général
28-12-23 22:08:14;beta bot;Left-Voice-Channel;Serveur test de Nakyss / Général
28-12-23 22:08:41;nakyss;Left-Voice-Channel;Serveur test de Nakyss / Général
28-12-23 22:08:42;nakyss;Join-Voice-Channel;Serveur test de Nakyss / Général
28-12-23 22:08:42;beta bot;Join-Voice-Channel;Serveur test de Nakyss / Général
28-12-23 22:08:44;beta bot;Left-Voice-Channel;Serveur test de Nakyss / Général
28-12-23 22:09:33;nakyss;Left-Voice-Channel;Serveur test de Nakyss / Général
28-12-23 22:09:34;nakyss;Join-Voice-Channel;Serveur test de Nakyss / Général
28-12-23 22:09:39;beta bot;Join-Voice-Channel;Serveur test de Nakyss / Général
28-12-23 22:09:47;beta bot;Left-Voice-Channel;Serveur test de Nakyss / Général
28-12-23 22:09:49;nakyss;Left-Voice-Channel;Serveur test de Nakyss / Général
28-12-23 22:09:50;nakyss;Join-Voice-Channel;Serveur test de Nakyss / Général
28-12-23 22:09:55;beta bot;Join-Voice-Channel;Serveur test de Nakyss / Général
28-12-23 22:10:03;beta bot;Left-Voice-Channel;Serveur test de Nakyss / Général
28-12-23 22:10:07;nakyss;Left-Voice-Channel;Serveur test de Nakyss / Général
28-12-23 22:10:07;nakyss;Join-Voice-Channel;Les Boys / OH C UN GATé
28-12-23 22:10:22;3l_shimizu;Left-Voice-Channel;Les Boys / OH C UN GATé
